sku;post_title;post_content;post_excerpt;category;tags;post_status;visibility;manage_stock;stock_status;backorders;stock;regular_price;sale_price;weight;length;width;height;tax_status;tax_class;featured;featured_image;product_gallery;shipping_class;comment_status;ping_status;menu_order
P02566;Ernie Ball Aluminum Bronze 2566;ALUMINUM BRONZE MEDIUM LIGHT-Aluminum Bronze Acoustic Strings feature more projection and clarity than traditional bronze strings, while also providing improved corrosion resistance. Aluminum Bronze Acoustic Strings are made with Ernie Ball Maraging Steel hex cores and Aluminum Bronze wrap wire which provide more pronounced lows coupled with crisp brilliant highs. Made from a blend of copper and aluminum specifically tailored for acoustic guitar strings. Medium Light Guages .012, .016, .024, .032, .044, and .054.;ALUMINUM BRONZE MEDIUM LIGHT-Aluminum Bronze Acoustic Strings feature more projection and clarity than traditional bronze strings, while also providing improved corrosion resistance;Guitar Strings->Ernie Ball;acoustic guitar strings, aluminum bronze strings;publish;visible;no;instock;yes;1;500;400;;;;;none;;yes;http://dagnamusic.com/wp-content/uploads/2016/03/P02566_mini.jpg;;;open;open;1
P02915;Ernie Ball M- Steel 2915;M-STEEL SKINNY TOP HEAVY BOTTOM-The loudest, most expressive strings ever created. Provides increased output, frequency response, and strength. M-Steel, short for Maraging Steel, is a superalloy used in high stress applications for the aerospace and defense industries.  The wound strings are comprised of a patented Super Cobalt alloy wrapped around a Maraging steel hex core wire, producing a richer and fuller tone with powerful low end response.  M-Steel plain strings are comprised of a specially tempered steel for maximum fatigue resistance.  A patented winding of steel around the ball end of the plain strings reduces slippage, breakage and stays in tune better than conventional plain strings. Skinny Top Heavy Bottom Slinky Strings are the perfect hybrid set for those who like thick bottom strings without sacrificing the ability to solo on smaller strings. Gauges .010 .013 .017 .030 .042 .052;M-STEEL SKINNY TOP HEAVY BOTTOM-The loudest, most expressive strings ever created. Provides increased output, frequency response, and strength;Guitar Strings->Ernie Ball;acoustic guitar strings, m-steel strings;publish;visible;no;instock;yes;1;500;400;;;;;none;;yes;http://dagnamusic.com/wp-content/uploads/2016/03/P02915_mini.jpg;;;open;open;1
P02922;Ernie Ball M-Steel 2922;M-STEEL HYBRID SLINKY-M-Steel, short for Maraging Steel, is a superalloy used in high stress applications for the aerospace and defense industries.  The wound strings are comprised of a patented Super Cobalt alloy wrapped around a Maraging steel hex core wire, producing a richer and fuller tone with powerful low end response.  M-Steel plain strings are comprised of a specially tempered steel for maximum fatigue resistance.  A patented winding of steel around the ball end of the plain strings reduces slippage, breakage and stays in tune better than conventional plain strings. The loudest, most expressive strings ever created. Provides increased output, frequency response, and strength. Hybrid Slinky Electric Strings are a perfect match for those who like the ability to combine the combination of Super and Regular Slinkys. Gauges .009 .011 .016 .026 .036 .046;M-STEEL HYBRID SLINKY-M-Steel, short for Maraging Steel, is a superalloy used in high stress applications for the aerospace and defense industries;Guitar Strings->Ernie Ball;acoustic guitar strings, m-steel strings;publish;visible;no;instock;yes;1;500;400;;;;;none;;yes;http://dagnamusic.com/wp-content/uploads/2016/03/P02922_mini.jpg;;;open;open;1
P03121;Ernie Ball Coated Regular Slinky 3121;COATED ELECTRIC TITANIUM RPS REGULAR SLINKY-Ernie Ball Coated Slinky Strings combine the latest technological advancements in string manufacturing. All wound strings are treated with groundbreaking nanotechnology that repels unwanted moisture and oils that negatively impact your tone. In addition to treating the wound strings, each plain string features a patented reinforcement winding of titanium wire. Titanium's inherent strength prevents string breakage, string slippage, and is proven to keep your guitar strings in tune better than conventional plain strings. Ernie Ball Coated Slinky guitar strings maintain the feel and sound of uncoated sets, combining the added protection with the vibrant tone Ernie Ball customers have relied on for over 50 years. Gauges .010 .013 .017 .026 .036 .046;COATED ELECTRIC TITANIUM RPS REGULAR SLINKY-Ernie Ball Coated Slinky Strings combine the latest technological advancements in string manufacturing. All wound strings are treated with groundbreaking nanotechnology;Guitar Strings->Ernie Ball;electric guitar strings,titanium strings;publish;visible;no;instock;yes;1;888;800;;;;;none;;yes;http://dagnamusic.com/wp-content/uploads/2016/03/P03121_mini.jpg;;;open;open;1
P02834;Ernie Ball Super Slinky Bass Strings 2834;SUPER SLINKY BASS NICKEL SUPER SLINKY BASS NICKEL - Ernie Ball Super Slinky Bass Strings are round-wound for maximum clarity and serious punch. Each bass string is manufactured with the finest and freshest raw materials in the beautiful Coachella Valley of Southern California. The list of endorsers for Ernie Ball Slinky bass strings reads like a who's who of top selling artists. Gauges .045 .065 .080 .100;SUPER SLINKY BASS NICKEL SUPER SLINKY BASS NICKEL - Ernie Ball Super Slinky Bass Strings are round-wound for maximum clarity and serious punch;Guitar Strings->Ernie Ball;bass guitar strings,nickel strings;publish;visible;no;instock;yes;1;2000;1600;;;;;none;;yes;http://dagnamusic.com/wp-content/uploads/2016/03/P02834_mini.jpg;;;open;open;1
P02833;Ernie Ball Hybrid Slinky Bass Strings 2833;HYBRID SLINKY BASS NICKEL WOUND-Ernie Ball Hybrid Slinky Bass Strings are round-wound for maximum clarity and serious punch. Featuring a combination of Super Slinky and Regular Slinky gauges, the Hybrid Slinky set has proven to be a popular staple in music stores worldwide.  Each bass string is manufactured with the finest and freshest raw materials in the beautiful Coachella Valley of Southern California. The list of endorsers for Ernie Ball Slinky bass strings reads like a who's who of top selling artists. Gauges .045 .065 .085 .105;HYBRID SLINKY BASS NICKEL WOUND-Ernie Ball Hybrid Slinky Bass Strings are round-wound for maximum clarity and serious punch;Guitar Strings->Ernie Ball;bass guitar strings,nickel strings;publish;visible;no;instock;yes;1;2000;1600;;;;;none;;yes;http://dagnamusic.com/wp-content/uploads/2016/03/P02833_mini.jpg;;;open;open;1
P02723;Ernie Slinky Cobalt Electric Guitar Strings 2723;COBALT SUPER SLINKY-Engineered to maximize output and clarity, Ernie Ball Cobalt Slinky Guitar Strings are the latest innovation in string technology. Seeking to provide guitarists and bassists with a new voice, Cobalt strings provide an extended dynamic range, incredible harmonic response, increased low end, and crisp, clear highs. Cobalt provides a stronger magnetic relationship between pickups and strings than any other alloy previously available. Cobalt Slinkys are also soft and silky to the touch, making string bending a breeze. Patent pending.;COBALT SUPER SLINKY-Engineered to maximize output and clarity, Ernie Ball Cobalt Slinky Guitar Strings are the latest innovation in string technology;Guitar Strings->Ernie Ball;electric guitar strings,cobalt strings;publish;visible;no;instock;yes;1;880;800;;;;;none;;yes;http://dagnamusic.com/wp-content/uploads/2016/03/P02723_mini.jpg;;;open;open;1
P02722;Ernie Ball Cobalt Hybrid Slinky Electric Guitar Strings;COBALT HYBRID SLINKY Engineered to maximize output and clarity, Ernie Ball Cobalt Slinky Guitar Strings are the latest innovation in string technology. Seeking to provide guitarists and bassists with a new voice, Cobalt strings provide an extended dynamic range, incredible harmonic response, increased low end, and crisp, clear highs. Cobalt provides a stronger magnetic relationship between pickups and strings than any other alloy previously available. Cobalt Slinkys are also soft and silky to the touch, making string bending a breeze.;COBALT HYBRID SLINKY Engineered to maximize output and clarity, Ernie Ball Cobalt Slinky Guitar Strings are the latest innovation in string technology;Guitar Strings->Ernie Ball;electric guitar strings,cobalt hybrid strings;publish;visible;no;instock;yes;1;880;800;;;;;none;;yes;http://dagnamusic.com/wp-content/uploads/2016/03/P02722_mini.jpg;;;open;open;1
P02221;Ernie Ball 2221 Regular Slinky Electric Guitar Strings;REGULAR SLINKY NICKEL WOUND-Ernie Ball Regular Slinky Electric Strings are our top selling set, and are favored by many musicians around the globe. Regular Slinky strings are played by Eric Clapton, John Mayer, Steve Vai and legions of guitar players worldwide. These strings are precision manufactured to the highest standards and most exacting specifications to ensure consistency, optimum performance, and long life. Regular Slinky wound strings are made from nickel plated steel wire wrapped around a hex shaped steel core wire.  The plain strings are made of specially tempered tin plated high carbon steel; producing a well balanced tone for your guitar. Gauges .010 .013 .017 .026 .036 .046;REGULAR SLINKY NICKEL WOUND-Ernie Ball Regular Slinky Electric Strings are our top selling set, and are favored by many musicians around the globe. Regular Slinky strings are played by Eric Clapton, John Mayer, Steve Vai and legions of guitar players worldwide;Guitar Strings->Ernie Ball;electric guitar strings,nickel strings;publish;visible;no;instock;yes;1;500;420;;;;;none;;yes;http://dagnamusic.com/wp-content/uploads/2016/03/P02221_mini.jpg;;;open;open;1
P02215;Ernie Ball 2215 Slinky Top Heavy Botton Electrc Guitar Strings;SKINNY TOP HEAVY BOTTOM NICKEL WOUND- Ernie Ball Skinny Top Heavy Bottom Slinky Strings are the perfect hybrid set for those who like thick bottom strings without sacrificing the ability to solo on smaller strings. These strings are precision manufactured to the highest standards and most exacting specifications to ensure consistency, optimum performance, and long life. The wound strings are made from nickel plated steel wire wrapped around a hex shaped steel core wire.  The plain strings are made of specially tempered tin plated high carbon steel; producing a well balanced tone for your guitar. Gauges .010 .013 .017 .030 .042 .052;SKINNY TOP HEAVY BOTTOM NICKEL WOUND- Ernie Ball Skinny Top Heavy Bottom Slinky Strings are the perfect hybrid set for those who like thick bottom strings without sacrificing the ability to solo on smaller strings.;Guitar Strings->Ernie Ball;acoustic guitar strings,bronze strings;publish;visible;no;instock;yes;1;500;450;;;;;none;;yes;http://dagnamusic.com/wp-content/uploads/2016/03/P02215_mini.jpg;;;open;open;1
